FieldKey,Type,Primary,Nullable,Default,Computed,DerivesFrom,FKTarget,EnumGroup,Constraints,SourceSystem,UpdatePolicy,Indexed,Sensitivity,Description,Example,Notes
work_item_id,text,TRUE,FALSE,,FALSE,,,,CHECK (work_item_id ~ '^tsk_[0-9a-hjkmnp-tv-z]{26}$'),Supabase,immutable,TRUE,internal,Primary identifier for human work item/task,tsk_01h9x3k7m2p4r6t8v0w1y2z3ab,
project_id,text,FALSE,FALSE,,FALSE,,projects.project_id,,FOREIGN KEY,Supabase,controlled,TRUE,internal,Project this work item belongs to,prj_01HF9ABC123,
title,text,FALSE,FALSE,,FALSE,,,,,MGFilms Pro,editable,TRUE,internal,Work item title,Create first rough cut,
assigned_to_person_id,text,FALSE,TRUE,,FALSE,,people.person_id,,FOREIGN KEY,MGFilms Pro,controlled,TRUE,internal,Person assigned to this work item,per_01h9x3k7m2p4r6t8v0w1y2z3ab,
status_key,text,FALSE,FALSE,pending,FALSE,,work_item_statuses.status_key,work_item_statuses,FOREIGN KEY,Workflow,frequent,TRUE,internal,Work item status,in_progress,
priority_key,text,FALSE,FALSE,normal,FALSE,,work_item_priorities.priority_key,work_item_priorities,FOREIGN KEY,Workflow,frequent,TRUE,internal,Work item priority,high,
created_at,timestamptz,FALSE,FALSE,now(),TRUE,system,,,,Supabase,immutable,TRUE,internal,Timestamp when the work item was created,2025-03-01T12:00:00Z,
due_at,timestamptz,FALSE,TRUE,,FALSE,,,,,Workflow,editable,TRUE,internal,Optional due timestamp,2025-03-05T17:00:00Z,
notes,text,FALSE,TRUE,,FALSE,,,,,MGFilms Pro,editable,FALSE,internal,Internal notes/details,Use the interview selects from 3/1; keep it under 90 seconds.,
template_id,text,FALSE,TRUE,,FALSE,,,,,MGFilms Pro,editable,FALSE,internal,Optional template identifier (if you use task templates later),tmpl_roughcut_v1,
source_activity_id,text,FALSE,TRUE,,FALSE,,activity_log.activity_id,,FOREIGN KEY,Workflow,system,TRUE,internal,Optional activity record that spawned this work item,evt_01h9x3k7m2p4r6t8v0w1y2z3ab,
data_profile,text,FALSE,FALSE,,FALSE,,data_profiles.profile_key,data_profiles,FOREIGN KEY,Governance,rare,TRUE,internal,Indicates whether this row is real/dummy/fixture,real,
updated_at,timestamptz,FALSE,TRUE,,TRUE,system,,,,Supabase,system,FALSE,internal,Timestamp when the work item was last updated,2025-03-03T09:30:00Z,
